Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
848,Riley Stillman\stillri01,23,CHI,D,32,1,9,10,-2,29,1.5,1,0,0,1,9,0,0,26,3.8,464,14:30,31,76,0,0,
849,Mark Stone\stonema01,29,VEG,RW,28,8,20,28,7,8,3.0,6,2,0,2,17,2,1,53,15.1,508,18:09,19,14,13,14,48.1
850,Michael Stone\stonemi01,31,CGY,D,2,0,0,0,1,0,0.1,0,0,0,0,0,0,0,5,0.0,33,16:32,4,5,0,0,
851,Anton Stralman\stralan01,35,ARI,D,49,4,8,12,-7,8,1.9,4,0,0,1,8,0,0,69,5.8,1011,20:38,70,51,0,0,
852,Austin Strand\stranau01,24,LAK,D,4,0,2,2,2,0,0.4,0,0,0,0,2,0,0,4,0.0,63,15:49,2,3,0,0,
853,Dylan Strome\stromdy01,24,CHI,C,46,15,16,31,-3,22,3.3,10,5,0,1,10,6,0,89,16.9,729,15:51,20,6,268,242,52.5
854,Ryan Strome\stromry01,28,NYR,C,54,13,28,41,1,57,3.9,10,3,0,4,20,8,0,114,11.4,996,18:27,15,30,294,359,45.0
855,Marian Studenic\studema01,23,NJD,RW,17,1,0,1,-6,0,-0.3,1,0,0,0,0,0,0,24,4.2,201,11:48,10,12,1,3,25.0
856,Jack Studnicka\studnja01,22,BOS,C,10,0,2,2,-2,4,-0.1,0,0,0,0,2,0,0,12,0.0,126,12:37,0,14,35,37,48.6
857,Nico Sturm\sturmni01,26,MIN,C,53,9,8,17,-5,8,1.0,7,1,1,0,8,0,0,73,12.3,612,11:33,22,61,193,180,51.7
858,Tim Stützle\stuetti02,20,OTT,LW,56,13,21,34,-20,29,2.5,9,4,0,3,11,10,0,121,10.7,1012,18:04,33,93,105,162,39.3
859,P.K. Subban\subbapk01,32,NJD,D,55,3,15,18,-7,45,2.5,3,0,0,1,14,0,1,88,3.4,1048,19:03,67,53,0,0,
860,C.J. Suess\frankcl01,27,WPG,LW,3,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,,17,5:43,5,2,2,2,50.0
861,Oskar Sundqvist\sundqos01,27,STL,C,38,4,11,15,8,10,1.2,4,0,0,0,11,0,0,49,8.2,504,13:16,17,46,50,65,43.5
862,Andrej Sustr\sustran01,31,TOT,D,16,1,0,1,-1,6,0.2,1,0,0,0,0,0,0,11,9.1,177,11:05,8,10,0,0,
862,Andrej Sustr\sustran01,31,TBL,D,15,1,0,1,-1,6,0.2,1,0,0,0,0,0,0,10,10.0,158,10:33,6,8,0,0,
862,Andrej Sustr\sustran01,31,ANA,D,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,19,18:54,2,2,0,0,
863,Pius Suter\suterpi01,25,DET,F,58,11,12,23,-18,14,1.1,10,0,1,1,9,3,0,121,9.1,984,16:57,28,19,365,334,52.2
864,Ryan Suter\suterry01,37,DAL,D,56,5,20,25,6,28,5.1,3,2,0,0,12,8,0,85,5.9,1314,23:28,62,32,0,0,
865,Nick Suzuki\suzukni01,22,MTL,C,57,13,27,40,-17,20,2.9,6,6,1,4,16,9,2,130,10.0,1158,20:19,45,68,484,507,48.8
866,Andrei Svechnikov\svechan01,21,CAR,RW,54,23,28,51,12,63,6.1,16,7,0,5,17,11,0,184,12.5,937,17:21,12,125,0,5,0.0
867,Evgeny Svechnikov\svechev01,25,WPG,LW,49,6,10,16,3,22,1.4,6,0,0,0,10,0,0,58,10.3,524,10:41,15,67,2,4,33.3
